SepalLength,SepalWidth,PetalLength,PetalWidth,Species,PetalRatio,SepalRatio
5.1,3.5,1.4,0.2,setosa,7,1.45714285714286
4.9,3,1.4,0.2,setosa,7,1.63333333333333
4.7,3.2,1.3,0.2,setosa,6.5,1.46875
4.6,3.1,1.5,0.2,setosa,7.5,1.48387096774194
5,3.6,1.4,0.2,setosa,7,1.38888888888889
5.4,3.9,1.7,0.4,setosa,4.25,1.38461538461538
4.6,3.4,1.4,0.3,setosa,4.66666666666667,1.35294117647059
5,3.4,1.5,0.2,setosa,7.5,1.47058823529412
4.4,2.9,1.4,0.2,setosa,7,1.51724137931035
4.9,3.1,1.5,0.1,setosa,15,1.58064516129032
5.4,3.7,1.5,0.2,setosa,7.5,1.45945945945946
4.8,3.4,1.6,0.2,setosa,8,1.41176470588235
4.8,3,1.4,0.1,setosa,14,1.6
4.3,3,1.1,0.1,setosa,11,1.43333333333333
5.8,4,1.2,0.2,setosa,6,1.45
5.7,4.4,1.5,0.4,setosa,3.75,1.29545454545455
5.4,3.9,1.3,0.4,setosa,3.25,1.38461538461538
5.1,3.5,1.4,0.3,setosa,4.66666666666667,1.45714285714286
5.7,3.8,1.7,0.3,setosa,5.66666666666667,1.5
5.1,3.8,1.5,0.3,setosa,5,1.34210526315789
5.4,3.4,1.7,0.2,setosa,8.5,1.58823529411765
5.1,3.7,1.5,0.4,setosa,3.75,1.37837837837838
4.6,3.6,1,0.2,setosa,5,1.27777777777778
5.1,3.3,1.7,0.5,setosa,3.4,1.54545454545455
4.8,3.4,1.9,0.2,setosa,9.5,1.41176470588235
5,3,1.6,0.2,setosa,8,1.66666666666667
5,3.4,1.6,0.4,setosa,4,1.47058823529412
5.2,3.5,1.5,0.2,setosa,7.5,1.48571428571429
5.2,3.4,1.4,0.2,setosa,7,1.52941176470588
4.7,3.2,1.6,0.2,setosa,8,1.46875
4.8,3.1,1.6,0.2,setosa,8,1.54838709677419
5.4,3.4,1.5,0.4,setosa,3.75,1.58823529411765
5.2,4.1,1.5,0.1,setosa,15,1.26829268292683
